node_id,filtered_tilt,filtered_vibration,filtered_strain,status
NODE_01,0.2867,0.2167,0.1789,SAFE
NODE_01,2.6836,0.5325,1.3111,WARNING
NODE_01,0.1623,0.1759,0.0073,SAFE
NODE_01,0.8648,0.7151,1.0969,WARNING
NODE_01,0.2184,0.2791,0.1823,SAFE
NODE_01,0.2847,0.1802,0.0497,SAFE
NODE_01,2.6009,0.4563,0.8383,WARNING
NODE_01,0.2795,0.1256,0.1763,SAFE
NODE_01,0.0935,0.136,0.1082,SAFE
NODE_01,0.107,0.1402,0.029,SAFE
NODE_01,0.1119,0.0195,0.1133,SAFE
NODE_01,0.0126,0.0224,0.0735,SAFE
NODE_01,0.2887,0.2099,0.148,SAFE
NODE_01,0.2601,0.25,0.01,SAFE
NODE_01,0.2472,0.2131,0.1258,SAFE
NODE_01,1.0262,0.7236,1.2933,WARNING
NODE_01,0.0922,0.0446,0.1538,SAFE
NODE_01,0.0021,0.0456,0.0221,SAFE
NODE_01,0.2683,0.2187,0.1195,SAFE
NODE_01,0.052,0.0924,0.1631,SAFE
NODE_01,0.2874,0.1077,0.0414,SAFE
NODE_01,0.288,0.0229,0.1054,SAFE
NODE_01,0.0149,0.0541,0.0208,SAFE
NODE_01,0.0385,0.1859,0.198,SAFE
NODE_01,2.5744,0.9392,0.4669,WARNING
NODE_01,0.2633,0.1938,0.0047,SAFE
NODE_01,0.0783,0.1565,0.0415,SAFE
NODE_01,0.1237,0.0182,0.113,SAFE
NODE_01,5.288,4.8026,3.4954,DANGER
NODE_01,2.7808,0.4617,0.4495,WARNING
NODE_01,2.7337,0.6713,1.2789,WARNING
NODE_01,0.271,0.2791,0.1442,SAFE
NODE_01,0.1775,0.1013,0.0803,SAFE
NODE_01,10.7077,5.8767,2.4286,DANGER
NODE_01,3.0387,0.5344,1.1177,WARNING
NODE_01,0.1656,0.2111,0.1744,SAFE
NODE_01,0.1171,0.2143,0.1905,SAFE
NODE_01,0.2181,0.0218,0.0957,SAFE
NODE_01,0.2064,0.2629,0.1469,SAFE
NODE_01,0.8196,0.9275,0.6997,WARNING
NODE_01,0.1881,0.1207,0.1814,SAFE
NODE_01,0.1225,0.1703,0.1066,SAFE
NODE_01,2.0422,0.5967,0.8086,WARNING
NODE_01,0.0287,0.2919,0.1665,SAFE
NODE_01,0.0764,0.2193,0.1242,SAFE
NODE_01,0.1625,0.0471,0.1038,SAFE
NODE_01,0.1386,0.2515,0.1033,SAFE
NODE_01,2.6492,0.4237,0.7094,WARNING
NODE_01,0.0636,0.1741,0.0699,SAFE
NODE_01,1.1068,0.6224,1.101,WARNING
NODE_01,0.2942,0.2872,0.0599,SAFE
NODE_01,0.1241,0.1397,0.0622,SAFE
NODE_01,1.2047,1.0462,1.0081,WARNING
NODE_01,0.1523,0.1496,0.1988,SAFE
NODE_01,0.2822,0.0867,0.1289,SAFE
NODE_01,0.092,0.0589,0.1796,SAFE
NODE_01,3.1768,1.0696,0.9358,WARNING
NODE_01,0.1569,0.1189,0.1437,SAFE
NODE_01,0.2395,0.0632,0.1666,SAFE
NODE_01,0.1337,0.1705,0.1102,SAFE
NODE_01,0.1994,0.295,0.2,SAFE
NODE_01,0.0029,0.0687,0.1224,SAFE
NODE_01,0.1168,0.0949,0.1088,SAFE
NODE_01,3.0482,1.0792,1.5731,WARNING
NODE_01,0.0301,0.1389,0.0173,SAFE
NODE_01,0.0652,0.2381,0.1797,SAFE
NODE_01,11.7562,1.3514,3.1032,DANGER
NODE_01,0.085,0.2888,0.1672,SAFE
NODE_01,1.2295,0.7911,1.49,WARNING
NODE_01,0.2962,0.2382,0.1913,SAFE
NODE_01,1.8797,1.0048,1.6642,WARNING
NODE_01,0.0245,0.1627,0.0796,SAFE
NODE_01,0.1827,0.1059,0.1227,SAFE
NODE_01,0.5009,0.3888,0.5851,WARNING
NODE_01,2.4069,1.0452,1.6551,WARNING
NODE_01,14.1081,3.6568,5.0437,DANGER
NODE_01,0.2807,0.1299,0.1997,SAFE
NODE_01,1.7435,0.4991,1.4354,WARNING
NODE_01,0.0249,0.2004,0.0982,SAFE
NODE_01,0.2479,0.0827,0.0115,SAFE
NODE_01,2.6233,0.868,0.7045,WARNING
NODE_01,0.1638,0.0153,0.1095,SAFE
NODE_01,2.985,0.4179,1.1488,WARNING
NODE_01,0.2556,0.1044,0.1733,SAFE
NODE_01,0.6936,0.8697,1.0335,WARNING
NODE_01,0.0107,0.1814,0.0529,SAFE
NODE_01,5.5838,4.0644,4.1551,DANGER
NODE_01,0.1861,0.0472,0.1154,SAFE
NODE_01,2.7939,0.9327,0.4848,WARNING
NODE_01,2.7357,1.0018,1.6163,WARNING
NODE_01,0.2125,0.2733,0.0172,SAFE
NODE_01,0.1518,0.1765,0.0035,SAFE
NODE_01,0.0507,0.0536,0.1221,SAFE
NODE_01,0.0887,0.0984,0.1471,SAFE
NODE_01,0.1713,0.179,0.0754,SAFE
NODE_01,0.0278,0.2442,0.0472,SAFE
NODE_01,0.0223,0.2291,0.0444,SAFE
NODE_01,0.2218,0.2436,0.0363,SAFE
NODE_01,0.0679,0.2924,0.1808,SAFE
NODE_01,0.1484,0.1211,0.1094,SAFE
NODE_01,0.1946,0.0827,0.0408,SAFE
NODE_01,3.2204,0.697,1.4107,WARNING
NODE_01,1.442,0.4739,0.6067,WARNING
NODE_01,0.1239,0.2402,0.0495,SAFE
NODE_01,0.2591,0.1073,0.0382,SAFE
NODE_01,0.0336,0.2912,0.0814,SAFE
NODE_01,0.1482,0.2256,0.098,SAFE
NODE_01,0.2297,0.0935,0.038,SAFE
NODE_01,0.2171,0.2747,0.0572,SAFE
NODE_01,0.2123,0.2815,0.0714,SAFE
NODE_01,0.1009,0.0141,0.1938,SAFE
NODE_01,0.1137,0.1365,0.0893,SAFE
NODE_01,2.8861,0.9848,1.0923,WARNING
NODE_01,0.2285,0.2099,0.0846,SAFE
NODE_01,5.7613,5.1821,5.957,DANGER
NODE_01,0.1749,0.2824,0.1942,SAFE
NODE_01,0.0682,0.0749,0.1953,SAFE
NODE_01,3.1019,0.5998,1.2527,WARNING
NODE_01,0.1383,0.1569,0.0863,SAFE
NODE_01,14.6981,1.4053,5.7391,DANGER
NODE_01,0.2808,0.1779,0.1388,SAFE
NODE_01,0.0983,0.1682,0.157,SAFE
NODE_01,0.1338,0.2588,0.1111,SAFE
NODE_01,0.8293,0.468,1.4754,WARNING
NODE_01,7.2899,1.7521,5.8009,DANGER
NODE_01,0.0045,0.1608,0.0729,SAFE
NODE_01,0.1979,0.2771,0.1526,SAFE
NODE_01,0.2347,0.1105,0.1262,SAFE
NODE_01,3.1125,0.8857,1.7683,WARNING
NODE_01,0.2547,0.0795,0.0827,SAFE
NODE_01,0.016,0.2658,0.1947,SAFE
NODE_01,0.2344,0.2003,0.1598,SAFE
NODE_01,0.0217,0.0188,0.0103,SAFE
NODE_01,13.9534,4.7238,2.2373,DANGER
NODE_01,4.6822,1.7438,6.5879,DANGER
NODE_01,2.6014,0.886,1.7049,WARNING
NODE_01,0.0064,0.2209,0.0429,SAFE
NODE_01,0.2593,0.163,0.1064,SAFE
NODE_01,0.5472,0.7419,1.0485,WARNING
NODE_01,0.0321,0.2731,0.1324,SAFE
NODE_01,3.4913,1.1648,1.6987,WARNING
NODE_01,0.088,0.0214,0.0074,SAFE
NODE_01,1.6805,0.5385,0.7076,WARNING
NODE_01,0.2663,0.0999,0.005,SAFE
NODE_01,2.7435,0.9316,0.6391,WARNING
NODE_01,6.952,1.3677,4.0539,DANGER
NODE_01,8.4976,3.1033,3.9751,DANGER
NODE_01,0.0269,0.078,0.1488,SAFE
NODE_01,0.241,0.0176,0.0555,SAFE
NODE_01,0.2558,0.1417,0.0568,SAFE
NODE_01,0.2832,0.0479,0.1658,SAFE
NODE_01,0.2189,0.1637,0.1376,SAFE
NODE_01,0.244,0.204,0.0017,SAFE
NODE_01,2.2585,0.8827,0.4354,WARNING
NODE_01,3.1981,0.5513,1.5919,WARNING
NODE_01,0.108,0.1281,0.1397,SAFE
NODE_01,3.2512,0.9244,0.9294,WARNING
NODE_01,0.1009,0.1106,0.1127,SAFE
NODE_01,1.2118,0.3686,1.0186,WARNING
NODE_01,0.1123,0.0387,0.1568,SAFE
NODE_01,0.1814,0.0639,0.0786,SAFE
NODE_01,3.4132,0.768,0.6706,WARNING
NODE_01,1.9087,1.1161,0.6915,WARNING
NODE_01,0.176,0.1578,0.0642,SAFE
NODE_01,0.2372,0.1522,0.0671,SAFE
NODE_01,0.0211,0.0598,0.1411,SAFE
NODE_01,0.0694,0.2656,0.1636,SAFE
NODE_01,0.018,0.0724,0.1182,SAFE
NODE_01,1.6823,0.5462,1.3666,WARNING
NODE_01,0.2423,0.1526,0.1382,SAFE
NODE_01,0.2829,0.2602,0.046,SAFE
NODE_01,0.1921,0.1799,0.0683,SAFE
NODE_01,4.4687,1.8243,4.0954,DANGER
NODE_01,0.9775,0.7343,1.4628,WARNING
NODE_01,2.5488,1.1567,1.32,WARNING
NODE_01,0.0824,0.1292,0.0365,SAFE
NODE_01,0.1459,0.2103,0.1779,SAFE
NODE_01,0.1514,0.2369,0.1323,SAFE
NODE_01,0.154,0.0569,0.0151,SAFE
NODE_01,0.1761,0.2453,0.0099,SAFE
NODE_01,2.8996,0.8948,1.2815,WARNING
NODE_01,0.2387,0.2862,0.1619,SAFE
NODE_01,2.1336,0.4634,0.7045,WARNING
NODE_01,0.1499,0.2037,0.0114,SAFE
NODE_01,0.1239,0.092,0.0193,SAFE
NODE_01,1.7651,0.5351,0.9436,WARNING
NODE_01,0.0812,0.0861,0.0148,SAFE
NODE_01,0.06,0.1522,0.1934,SAFE
NODE_01,0.0823,0.2349,0.0995,SAFE
NODE_01,1.7893,0.6783,1.0966,WARNING
NODE_01,1.0871,0.7804,0.6465,WARNING
NODE_01,0.0174,0.2608,0.16,SAFE
NODE_01,0.0118,0.0671,0.0062,SAFE
NODE_01,0.1035,0.2324,0.069,SAFE
NODE_01,0.1989,0.0383,0.1408,SAFE
NODE_01,0.1966,0.1334,0.1753,SAFE
NODE_01,2.8575,1.1631,1.7597,WARNING
NODE_01,0.0945,0.054,0.1407,SAFE
NODE_01,0.226,0.2563,0.0046,SAFE
NODE_01,1.1342,0.4185,1.52,WARNING
NODE_01,0.2839,0.231,0.1769,SAFE
NODE_01,0.2227,0.1347,0.1032,SAFE
NODE_01,0.0784,0.2272,0.0417,SAFE
NODE_01,3.0475,0.8287,1.4756,WARNING
NODE_01,0.0212,0.0706,0.1725,SAFE
NODE_01,2.1314,1.1852,1.4632,WARNING
NODE_01,1.5496,0.4472,0.5668,WARNING
NODE_01,0.0212,0.2094,0.157,SAFE
NODE_01,0.2458,0.0742,0.1148,SAFE
NODE_01,1.0143,0.8909,1.3964,WARNING
NODE_01,0.1427,0.2285,0.1977,SAFE
NODE_01,0.048,0.0129,0.0969,SAFE
NODE_01,2.6227,0.6584,0.5744,WARNING
NODE_01,0.2429,0.1876,0.156,SAFE
NODE_01,0.2254,0.093,0.0738,SAFE
NODE_01,0.0135,0.1368,0.0323,SAFE
NODE_01,0.9678,0.3871,1.0524,WARNING
NODE_01,0.1023,0.2543,0.1989,SAFE
NODE_01,0.2633,0.2191,0.1505,SAFE
NODE_01,0.0479,0.1797,0.1906,SAFE
NODE_01,2.9789,0.5349,1.2193,WARNING
NODE_01,0.2638,0.2335,0.0113,SAFE
NODE_01,0.0077,0.0788,0.0334,SAFE
NODE_01,0.2864,0.0938,0.0192,SAFE
NODE_01,0.2249,0.2554,0.1804,SAFE
NODE_01,2.3912,0.6914,1.3149,WARNING
NODE_01,0.0157,0.0514,0.1074,SAFE
NODE_01,2.6689,0.4923,1.6523,WARNING
NODE_01,0.555,0.839,1.2444,WARNING
NODE_01,4.6633,1.9606,6.6993,DANGER
NODE_01,0.1151,0.2679,0.0124,SAFE
NODE_01,0.0788,0.1208,0.1016,SAFE
NODE_01,0.0315,0.2595,0.0678,SAFE
NODE_01,2.0605,0.7645,1.3761,WARNING
NODE_01,0.2422,0.1391,0.0342,SAFE
NODE_01,0.2867,0.1924,0.0081,SAFE
NODE_01,0.0699,0.1052,0.1906,SAFE
NODE_01,1.3729,0.9558,0.7548,WARNING
NODE_01,2.1959,1.1291,0.7694,WARNING
NODE_01,0.0838,0.2332,0.1403,SAFE
NODE_01,0.2618,0.0102,0.1676,SAFE
NODE_01,0.0296,0.0303,0.1155,SAFE
NODE_01,0.1689,0.2297,0.1743,SAFE
NODE_01,0.2944,0.0162,0.1198,SAFE
NODE_01,0.1472,0.2023,0.0499,SAFE
NODE_01,0.2129,0.2865,0.1557,SAFE
NODE_01,0.0384,0.1906,0.1518,SAFE
NODE_01,0.2713,0.1247,0.0425,SAFE
NODE_01,3.0388,0.9523,0.6062,WARNING
NODE_01,0.0365,0.2681,0.0864,SAFE
NODE_01,0.0518,0.1036,0.1656,SAFE
NODE_01,0.1938,0.2131,0.1419,SAFE
NODE_01,0.1225,0.0965,0.1769,SAFE
NODE_01,1.0254,0.7464,1.1568,WARNING
NODE_01,0.2952,0.124,0.1018,SAFE
NODE_01,0.1853,0.2511,0.1554,SAFE
NODE_01,0.075,0.088,0.1429,SAFE
NODE_01,0.1461,0.1163,0.0892,SAFE
NODE_01,0.0725,0.0593,0.0724,SAFE
NODE_01,0.2171,0.0187,0.1282,SAFE
NODE_01,0.1825,0.1099,0.1591,SAFE
NODE_01,0.0554,0.1562,0.0538,SAFE
NODE_01,0.0606,0.0564,0.15,SAFE
NODE_01,2.3802,1.0171,1.6422,WARNING
NODE_01,2.2632,0.7494,1.6847,WARNING
NODE_01,2.1748,0.5891,0.5035,WARNING
NODE_01,0.005,0.0662,0.0512,SAFE
NODE_01,0.2835,0.2081,0.0497,SAFE
NODE_01,0.2519,0.0411,0.0754,SAFE
NODE_01,2.1054,1.0738,1.702,WARNING
NODE_01,0.0216,0.0259,0.1083,SAFE
NODE_01,0.0357,0.1604,0.0489,SAFE
NODE_01,1.1397,0.9672,1.1365,WARNING
NODE_01,0.1331,0.2946,0.0647,SAFE
NODE_01,0.2835,0.2938,0.1833,SAFE
NODE_01,2.2533,0.5959,0.7072,WARNING
NODE_01,14.8679,3.5511,3.3723,DANGER
NODE_01,0.8244,0.5496,1.524,WARNING
NODE_01,0.156,0.0101,0.166,SAFE
NODE_01,0.2708,0.0617,0.0424,SAFE
NODE_01,1.2211,0.6911,0.5089,WARNING
NODE_01,2.5887,0.475,0.671,WARNING
NODE_01,0.1134,0.2559,0.0134,SAFE
NODE_01,0.1146,0.0593,0.0126,SAFE
NODE_01,0.2263,0.1862,0.0742,SAFE
NODE_01,3.3103,0.587,1.7086,WARNING
NODE_01,7.2458,3.0521,7.0998,DANGER
NODE_01,1.7975,0.9196,0.5656,WARNING
NODE_01,2.3103,0.8017,1.6762,WARNING
NODE_01,0.2098,0.1674,0.15,SAFE
NODE_01,12.7869,1.9222,4.98,DANGER
NODE_01,12.6178,2.5812,5.3661,DANGER
NODE_01,0.2021,0.121,0.1868,SAFE
NODE_01,0.0943,0.2741,0.0615,SAFE
NODE_01,0.2717,0.1779,0.1542,SAFE
NODE_01,0.2671,0.0584,0.0833,SAFE
NODE_01,2.8377,0.8901,0.9692,WARNING
NODE_01,0.0369,0.2794,0.1831,SAFE
NODE_01,0.2848,0.1271,0.0846,SAFE
NODE_01,0.1827,0.0986,0.0467,SAFE
NODE_01,0.2588,0.2496,0.0615,SAFE
NODE_01,0.0669,0.238,0.1742,SAFE
NODE_01,0.0601,0.0906,0.0306,SAFE
NODE_01,0.1405,0.1046,0.1195,SAFE
NODE_01,5.7928,2.3016,2.8057,DANGER
NODE_01,0.1513,0.2009,0.1368,SAFE
NODE_01,0.1578,0.1631,0.1586,SAFE
NODE_01,0.2467,0.0418,0.1694,SAFE
NODE_01,0.0766,0.192,0.0795,SAFE
NODE_01,0.056,0.014,0.06,SAFE
NODE_01,0.1574,0.2449,0.1357,SAFE
NODE_01,0.2919,0.1789,0.1447,SAFE
NODE_01,0.2713,0.248,0.1545,SAFE
NODE_01,14.0653,4.1757,6.0108,DANGER
NODE_01,0.2452,0.1854,0.1471,SAFE
NODE_01,1.2606,1.0965,0.6188,WARNING
NODE_01,0.2521,0.2339,0.1841,SAFE
NODE_01,0.1913,0.0684,0.1473,SAFE
NODE_01,0.0046,0.1967,0.0768,SAFE
NODE_01,2.282,0.7555,1.0616,WARNING
NODE_01,0.1916,0.2674,0.0371,SAFE
NODE_01,0.2316,0.1765,0.119,SAFE
NODE_01,0.0014,0.0659,0.1017,SAFE
NODE_01,0.6831,0.3588,0.4133,WARNING
NODE_01,0.0828,0.0986,0.0277,SAFE
NODE_01,1.6873,0.6075,0.5112,WARNING
NODE_01,3.1396,1.1052,1.5159,WARNING
NODE_01,1.6022,0.6537,0.7201,WARNING
NODE_01,2.2349,0.8039,0.4471,WARNING
NODE_01,0.0953,0.0466,0.1299,SAFE
NODE_01,0.2102,0.0483,0.0783,SAFE
NODE_01,0.1886,0.1539,0.083,SAFE
NODE_01,0.1998,0.2461,0.1295,SAFE
NODE_01,0.1909,0.1419,0.0309,SAFE
NODE_01,0.0889,0.2574,0.0256,SAFE
NODE_01,2.8382,0.9699,1.1046,WARNING
NODE_01,0.2637,0.1386,0.1231,SAFE
NODE_01,0.1353,0.128,0.1849,SAFE
NODE_01,0.2718,0.1521,0.0479,SAFE
NODE_01,2.1717,0.9709,0.8346,WARNING
NODE_01,0.2758,0.0792,0.1238,SAFE
NODE_01,0.0168,0.2887,0.1222,SAFE
NODE_01,0.0197,0.2238,0.1051,SAFE
NODE_01,0.18,0.2324,0.0979,SAFE
NODE_01,0.2889,0.1267,0.0862,SAFE
NODE_01,0.0511,0.2814,0.1659,SAFE
NODE_01,0.0119,0.1291,0.1013,SAFE
NODE_01,0.2485,0.1063,0.1801,SAFE
NODE_01,0.1463,0.0343,0.1064,SAFE
NODE_01,0.1859,0.1589,0.0934,SAFE
NODE_01,0.0101,0.2195,0.1538,SAFE
NODE_01,0.0075,0.0213,0.1987,SAFE
NODE_01,0.0568,0.2626,0.1301,SAFE
NODE_01,3.1967,0.7378,0.6666,WARNING
NODE_01,2.6024,1.1225,1.1687,WARNING
NODE_01,14.2663,4.138,7.0531,DANGER
NODE_01,0.1049,0.0742,0.0935,SAFE
NODE_01,0.1282,0.1159,0.1477,SAFE
NODE_01,0.7716,0.9712,0.4155,WARNING
NODE_01,0.0905,0.2823,0.1673,SAFE
NODE_01,0.0921,0.1055,0.1295,SAFE
NODE_01,0.1985,0.231,0.1257,SAFE
NODE_01,0.1122,0.279,0.0816,SAFE
NODE_01,0.1059,0.2787,0.0697,SAFE
NODE_01,1.1522,0.4745,1.2829,WARNING
NODE_01,2.8717,0.7033,1.6628,WARNING
NODE_01,0.2277,0.1535,0.0844,SAFE
NODE_01,0.2334,0.1656,0.1775,SAFE
NODE_01,0.1362,0.078,0.1671,SAFE
NODE_01,10.4355,4.2116,3.7429,DANGER
NODE_01,0.0976,0.2242,0.0625,SAFE
NODE_01,0.2686,0.1468,0.0879,SAFE
NODE_01,0.2247,0.2922,0.1552,SAFE
NODE_01,0.292,0.255,0.0732,SAFE
NODE_01,1.6442,0.8007,0.57,WARNING
NODE_01,2.6776,1.1345,1.6322,WARNING
NODE_01,0.1064,0.0694,0.1812,SAFE
NODE_01,0.1494,0.1676,0.1259,SAFE
NODE_01,0.0264,0.2295,0.1888,SAFE
NODE_01,0.1138,0.0137,0.1527,SAFE
NODE_01,0.208,0.2989,0.0663,SAFE
NODE_01,0.185,0.2783,0.1121,SAFE
NODE_01,0.0666,0.2901,0.0016,SAFE
NODE_01,0.2408,0.2705,0.1907,SAFE
NODE_01,0.299,0.0751,0.0129,SAFE
NODE_01,0.2391,0.1417,0.1781,SAFE
NODE_01,0.1982,0.278,0.1477,SAFE
NODE_01,0.0664,0.2183,0.1653,SAFE
NODE_01,0.2034,0.0563,0.0205,SAFE
NODE_01,3.2381,0.454,1.2833,WARNING
NODE_01,0.1074,0.0724,0.0285,SAFE
NODE_01,0.1908,0.2867,0.163,SAFE
NODE_01,0.0313,0.2696,0.1698,SAFE
NODE_01,1.0404,0.5396,0.8591,WARNING
NODE_01,0.0247,0.1109,0.1688,SAFE
NODE_01,5.4646,4.1849,3.6527,DANGER
NODE_01,0.1662,0.1868,0.0241,SAFE
NODE_01,7.303,3.5599,4.4612,DANGER
NODE_01,0.5195,0.7474,0.6845,WARNING
NODE_01,0.0425,0.0657,0.147,SAFE
NODE_01,0.2041,0.068,0.1234,SAFE
NODE_01,6.5148,3.119,7.1838,DANGER
NODE_01,2.1963,0.5349,0.7213,WARNING
